id,customer_tweet_id,customer_message,intent
1,358910,@AppleSupport I’m trying to put my iCloud on an older I phone that hasn’t been used in a while and it’s telling me to connect to iTunes but I can’t,wifi_connectivity
2,152853,@AppleSupport Anyone else having problems sending #Hotmail from iOS 11.1.1?  I receive email. When sending I get “Cannot send. The message was rejected by the server.”,software_ios
3,2238893,@AppleSupport I appreciate your response &amp; will look into your suggestions. Thanks,app_issues
4,1136344,"@AppleSupport Hey Apple, I think you didn't not complete the job of translating High Sierra properly. https://t.co/CfrybtiMqx",mac_macos
5,2945676,how can i remove the payment info in my phone??? huhuhu @AppleSupport,app_store_purchases
6,1149976,@115858 iCloud backup &amp; iTunes backup are both not working.,icloud_apple_id
7,1462571,"@AppleSupport going to united states un 10 days, wanna know if is already available the iphone 8 that I can use down here in brazil. thanks",hardware_device
8,644912,@AppleSupport can you please advise why my iPhone will not send video messages after I did the update?,notifications_messages
9,2622760,@AppleSupport what is going on with not sending videos to a android user?  Now not getting messages. What is going on!??!!!,notifications_messages
10,188660,@AppleSupport the battery drain is a bit much. iOS 11.0.2 on a A1533 iPhone 5S. https://t.co/8b45lRHJRm,battery_charging
11,1896989,"@115858 keep up the ""good service"" on older iPhone models! My iPhone 6 was working perfectly fine until your new shit came out.",hardware_device
12,1146751,"@115858 What is going on?  I keep getting ads for lousy, scam Shanghai online clothing stores!",security_fraud
13,2139956,@AppleSupport 1.54gb of messages gone just like that but they're still taking up the memory on my phone?? looooool ok den https://t.co/hlal0famyL,notifications_messages
14,1437542,@AppleSupport from https://t.co/d2R8kdYFyf website. definitely a bug. No problem from the iPhone preferences.,hardware_device
15,959708,Um is this legit? @AppleSupport I don’t want to get hacked but don’t want to get locked out like this is threatening https://t.co/dhiLYjOqYr,security_fraud
16,2366115,"Dear @115858, 
cc. @AppleSupport @116333 

Please add in a “marked as unread” feature to iMessage. Everyone would benefit greatly. 

Regards, 
Matt",notifications_messages
17,1277200,"@418918 @AppleSupport This also happens to me, I only just figured out how to reset it, I was waiting for the battery life to drain for it to reset! Nightmare",battery_charging
18,1999726,"Hey @AppleSupport, I can't get my email to reconfigure to my MacBook. Is this something you can help me with? 😢",mac_macos
19,2412958,"@AppleSupport yes, and force restart, and reset network settings",wifi_connectivity
20,2032530,@115858 I️ have been buying your products for years and now I️ can’t type I️ on an iPhone and sound like an illiterate fuck so thanks.,hardware_device
21,2420091,@AppleSupport How do I stop #iTunes asking me if I want to see what 'friends' are listening to about every 30 seconds? It's very very irritating!,app_store_purchases
22,1354056,@AppleSupport iOS11 has destroyed my new (you are still selling it) iPhone SE. Eats battery. Have turned off all background. Pls help me!😎,software_ios
23,407987,@AppleSupport Tested it in both Safari 11.0.1 (12604.3.2) and Chrome 61.0.3163.100. Same device: MacBook Pro 15-inch 2016. Same result in both browsers.,mac_macos
24,1481870,@115858 having serious issues keeping my new Apple TV 4K connected to the internet. Never had issues with my previous Apple TV!,wifi_connectivity
25,2731316,@AppleSupport I’m trying to recording the screen but the audio doesn’t work. Why?,hardware_device
26,2482411,@115858 I did not even reach the repair center for 30 minutes. send me my phone! @AppleSupport #iphone #iphone8 @23490 #iPhoneSE,hardware_device
27,1194068,@AppleSupport WiFi etc are all on. I have done “forever” and “renew lease”. I have restarted devices. It connects to personal hotspot but not networks,wifi_connectivity
28,1742553,"@AppleSupport @115858 fix my iPhone and it’s stupid ass autocorrect, ” i “ turns into “ I️ “",hardware_device
29,1936065,"@AppleSupport Hello, I just called in for iTunes product support and your agent hung up on me. Can you DM me to sort this out, please? Thx.",app_store_purchases
30,1809615,Just purchased a MacBook Pro @115858 @29645. Need service help. Four hour wait time. Someone needs to disrupt this business.,app_store_purchases
31,394589,My 7plus was perfect until I updated it. Thanks @115858 . .,software_ios
32,1834098,@AppleSupport Messages app starts showing message notifictions from the beginnig of time after restart sinc upgrade to iOS 11 on my iphone6.,software_ios
33,741014,@AppleSupport yes but i don’t get why it said my phone was dead when it was charging perfectly fine the afternoon before,battery_charging
34,1364824,@AppleSupport I have already done this. Same link. Many times. My music is not showing even in Not On This iPhone.,hardware_device
35,2313148,Netflix can be viewed on Chrome but not Safari on an iMac. That's a glitch if you ask me. #annoyed @AppleSupport,mac_macos
36,2706868,Ei @AppleSupport vcs vão dar um jeito no icloud ou eu posso cancelar a assinatura?,icloud_apple_id
37,1203498,@AppleSupport I need help urgently as I’ve Mahabad to purchase and year sucricprition and didn’t mean to,app_store_purchases
38,2299194,@AppleSupport I’ve been charged almost £200 for a subscription renual for an app I did not authorise... I’ve had to call my bank and stop further payments! Can you contact me immediately!!! - Paige. https://t.co/laokhdu1J5,app_store_purchases
39,2041465,@AppleSupport when my phone is locked I'm not receiving any sound notifications like new mail arrived or I got a text message.  My sounds are on and notifications are set to always. Please help me as I'm missing stuff.,notifications_messages
40,339979,Apparently RIP the ability to use my iPhone 8 Plus on speaker phone @AppleSupport @115858,hardware_device
41,2412414,"@118721 @AppleSupport @115858  hi!  I am continuously receiving this kind of emails to one of my accounts, (the one that is not registered with my Iphone). Maybe Phishing...?? https://t.co/5vwtXvi446",hardware_device
42,1525993,@AppleSupport this is a scam isn’t it? https://t.co/UYMHkkF7TQ,security_fraud
43,1932672,@AppleSupport I don’t see a specific mention of Apple Watch. So 5 years?,app_issues
44,146650,"1) Voici la distance à vol d’oiseaux de chez moi à Vivonne.
2) D’après mon iPhone je suis à Iteuil.
3) D’après mon Apple Watch je suis à Vivonne.
@AppleSupport aidez-moi ! https://t.co/D1dJkNje5J",app_issues
45,294366,@115858 Do you see this?! @115858 I purchased this song; its on my MacBook but it will NOT sync to my phone. FIX IT. https://t.co/IWbz0v0aFA,app_store_purchases
46,66867,@AppleSupport is this you?? Or hacker?? https://t.co/L7N6CEoUr5,security_fraud
47,2060892,@AppleSupport thoroughly disappointed with iPhone 7 Plus product service experience in Mumbai. Job No NES25091729255. Lost faith in apple,app_issues
48,1955507,why did @115858 charge me $8.65 to update a free app ??,software_ios
49,738232,@AppleSupport Do you make a 32 GB RAM MacBook? The performance on my 16 GB MacBook performs like a Fisher Price toy.,mac_macos
50,330479,"Network calls don’t work since upgrading to ios11 yesterday,can’t hear any audio can only use WiFi/data calls!! @AppleSupport @115858",wifi_connectivity
51,1035580,"@AppleSupport I'm still having keychain issues after the recent update. Endless password requests, all passwords on all accounts have",icloud_apple_id
52,1026285,@AppleSupport My iPhone 7 just made a random beep sound. I don’t know why as I received no notifications nor any kind of warning.,notifications_messages
53,1241806,Am I still allowed to complain about @115858 ios11? My phone app decided to play hide n seek today. @125607 android come at me. https://t.co/wt7sO5T5kh,software_ios
54,2346045,@AppleSupport WHY DO MY PODCASTS KEEP STOPPING?! Can’t listen to an episode without it stopping every minute. OS 10.13/iTunes 12.7.1.14,app_store_purchases
55,484521,"@115858 I've been completely locked out of my Apple/iCloud ID for almost a month! FaceCime, iCloud, iTunes, email, everything (Case 100339492735). I have an iPhone X 256GB arriving today that I won't be able to setup. Questioning why. My @122986 ID is fine BTW. #timeforandroid?",icloud_apple_id
56,501495,"@AppleSupport Painfully slow. Everything takes 10-30 seconds to accomplish (whereas before it was 2-3; seamless). Examples: swiping to open camera from lock screen? 20 seconds before camera is ready. Opening Gmail? 15 seconds for it to load? Doesn't sound like a lot, but drastically slower.",hardware_device
57,619502,"Hey @115858 @AppleSupport we need a lil favour. Safari 11.0.1 &amp; it’s relationship with High Sierra needs to be fixed. Many people are having multiple problems since the High Sierra update, specific sites are not loading. Multiple community posts have not fixed problem. Please help",mac_macos
58,1170841,@AppleSupport Thanks but this feature defeats the object of turning it off. I don’t need or want the phone looking for a WiFi service when I’ve turned off,wifi_connectivity
